"","Ecoregion","Long_126_raster","Long_126_raster_lower_ci","Long_126_raster_upper_ci","Long_245_raster","Long_245_raster_lower_ci","Long_245_raster_upper_ci","Long_585_raster","Long_585_raster_lower_ci","Long_585_raster_upper_ci","Mid_126_raster","Mid_126_raster_lower_ci","Mid_126_raster_upper_ci","Mid_245_raster","Mid_245_raster_lower_ci","Mid_245_raster_upper_ci","Mid_585_raster","Mid_585_raster_lower_ci","Mid_585_raster_upper_ci","Ob_raster","Ob_raster_lower_ci","Ob_raster_upper_ci","Sho_126_raster","Sho_126_raster_lower_ci","Sho_126_raster_upper_ci","Sho_245_raster","Sho_245_raster_lower_ci","Sho_245_raster_upper_ci","Sho_585_raster","Sho_585_raster_lower_ci","Sho_585_raster_upper_ci"
"1","Agulhas Bank",290.457117417279,289.520234289821,291.394000544738,480.439548268038,470.410411730185,490.468684805891,822.344866584329,811.569642917338,833.12009025132,214.414555269129,210.754621885375,218.074488652883,274.254039988798,268.307164700145,280.200915277452,322.32369815602,310.62464357387,334.022752738171,56.8190689086914,53.1820242361581,60.4561135812247,129.710035885082,124.964728937087,134.455342833076,121.441982493681,118.804515095358,124.079449892005,137.236708248363,133.794665459016,140.67875103771
"2","Araucanian",346.9528515625,340.851515316646,353.054187808354,557.298589477539,544.169500382658,570.427678572421,1015.20826416016,1000.20812039075,1030.20840792957,219.692481994629,211.550164100631,227.834799888627,271.315156860352,263.98553805762,278.644775663083,343.927354125977,330.10213827053,357.752569981423,35.0406146621704,33.3318734128865,36.7493559114543,120.946241455078,117.107809288282,124.784673621875,139.14203414917,134.760662113873,143.523406184466,117.301587371826,112.14894564279,122.454229100863
"3","Auckland Island",211.311373901367,206.699157359912,215.923590442822,436.233630371094,430.498276851722,441.968983890466,745.176306152344,739.540750266777,750.81186203791,131.719961547852,129.013151753677,134.426771342026,200.716342163086,198.473490828962,202.95919349721,270.310949707031,267.866920267841,272.754979146222,53.2684379577637,50.527240042027,56.0096358735004,84.1200988769531,83.529310389821,84.7108873640852,85.0472686767578,82.8498850893312,87.2446522641845,87.4201553344727,85.3843357416168,89.4559749273285
"4","Bassian",311.049577501085,301.452617068394,320.646537933776,712.928415256076,687.719934006884,738.136896505269,1385.93701443142,1323.66462797849,1448.20940088436,244.357030232747,228.351418405988,260.362642059506,378.251305474175,356.15324538174,400.349365566611,529.623672146267,499.468283116991,559.779061175544,94.6550169203016,89.2613759927248,100.048657847879,205.487900458442,187.777965891722,223.197835025161,195.836940850152,180.606914614509,211.066967085795,188.064338853624,172.560429495014,203.568248212234
"5","Bounty and Antipodes Islands",215.53157043457,206.87380107889,224.189339790251,453.77424621582,440.404385797091,467.14410663455,780.615020751953,765.062250800683,796.167790703224,125.720321655273,121.989463840665,129.451179469882,185.038757324219,175.874763899841,194.202750748597,258.236602783203,254.37332404216,262.099881524246,42.2815380096436,40.7572190107514,43.8058570085357,88.1042404174805,83.3866237374425,92.8218570975185,79.7316055297852,78.2867051575265,81.1765059020438,85.6036834716797,82.6513560086044,88.556010934755
"6","Campbell Island",221.145991007487,218.232957585675,224.059024429299,424.397694905599,421.986755182588,426.80863462861,712.354349772135,705.11107686709,719.59762267718,125.589398701986,124.457763112942,126.72103429103,170.799708048503,169.637273890859,171.962142206146,241.87929280599,238.393288001633,245.365297610347,42.6625620524089,40.9686981755444,44.3564259292733,79.5007476806641,78.365654049762,80.6358413115661,73.3203557332357,73.1398618003741,73.5008496660972,85.38232421875,84.2570305316165,86.5076179058835
"7","Cape Howe",380.157287597656,336.487073611436,423.827501583876,824.00908314098,760.08642715627,887.93173912569,1565.92836692116,1431.56726577827,1700.28946806406,316.051707874645,267.992217552291,364.111198196998,471.027576793324,404.425432020049,537.629721566599,598.598893599077,538.172776687119,659.025010511035,93.3117613358931,75.7266202164254,110.896902455361,256.14684642445,210.259529375104,302.034163473795,236.409194946289,202.791331189822,270.027058702756,217.65539412065,182.766812370012,252.543975871288
"8","Central Chile",441.708625206581,429.825520436062,453.591729977099,733.820229163537,710.922815497685,756.717642829388,1257.148047814,1218.08343636109,1296.21265926691,318.585202730619,302.657744025602,334.512661435636,387.217113788311,368.085485794672,406.348741781951,521.387313842773,503.411649095988,539.362978589559,36.0563256557171,32.5191348647152,39.5935164467191,172.320003216083,165.497342952009,179.142663480157,189.101422236516,182.181870004435,196.020974468597,192.211087446946,181.454417780356,202.967757113536
"9","Central New Zealand",304.784844360352,300.846517764517,308.723170956186,687.956491699219,678.822002466568,697.090980931869,1170.95568603516,1156.09897975303,1185.81239231729,213.391897888184,209.124391846238,217.659403930129,341.730337524414,336.195207302908,347.265467745921,470.976714477539,463.28169177853,478.671737176549,67.4199038696289,63.0794101575018,71.760397581756,160.81877166748,155.566230450554,166.071312884407,145.35419921875,143.123927967935,147.584470469565,169.749944763184,166.504212227252,172.995677299115
"10","Channels and Fjords of Southern Chile",252.407430234163,251.507411430708,253.307449037617,419.256602043115,416.68794039911,421.82526368712,757.88328028877,752.899409341003,762.867151236537,128.082506336452,127.220028412093,128.94498426081,171.68990005272,169.754931278347,173.624868827094,212.560595268213,210.228477565661,214.892712970764,33.622464004922,32.5951776839066,34.6497503259375,75.7317639595069,74.8969410505791,76.5665868684346,65.6873691116554,64.4873609713627,66.8873772519481,67.5819944114501,66.4583903706876,68.7055984522126
"11","Chatham Island",297.38613319397,295.705539688031,299.066726699908,654.684436798096,649.233469067357,660.135404528835,1125.24571228027,1119.3750695598,1131.11635500074,197.018934249878,195.383117850073,198.654750649683,313.110122680664,312.014247291897,314.205998069431,479.989986419678,477.173599946964,482.806372892392,90.3750486373901,86.1869040000172,94.563193274763,177.215205192566,172.781480524817,181.648929860315,151.40022277832,148.889593104152,153.910852452489,166.876654624939,164.177511435449,169.575797814429
"12","Chiloense",264.181076947381,260.840957502787,267.521196391974,491.384297888263,489.253658235878,493.514937540649,875.178936328763,870.941745365275,879.416127292252,140.692618725347,138.289825416302,143.095412034391,214.243722254934,211.200603466995,217.286841042873,275.244602278167,272.173599311662,278.315605244673,30.2654859380784,29.2188548505083,31.3121170256486,98.6121881023731,97.1397622064806,100.084613998266,93.1954794491039,91.7058023108275,94.6851565873803,90.5046254575642,89.8083710766478,91.2008798384806
"13","Crozet Islands",428.993537055122,427.168202385587,430.818871724657,710.202067057292,707.485127457889,712.919006656694,1135.16814507378,1132.8776156409,1137.45867450667,284.845581054688,284.013406340898,285.677755768477,349.405615912543,347.501802107178,351.309429717909,451.813852945964,450.451769119711,453.175936772216,26.4136515723334,25.9982406704674,26.8290624741995,142.498752170139,140.667755664357,144.329748675921,153.813252766927,151.194731777909,156.431773755945,167.3771548801,164.41439688572,170.33991287448
"14","Eastern Bering Sea",770.977111816406,754.573661644657,787.380561988156,1188.65104166667,1173.79341331727,1203.50867001607,2016.50846354167,1999.0062066611,2034.01072042223,511.598495483398,507.535258579591,515.661732387206,735.768483479818,713.441148946783,758.095818012852,848.429667154948,828.176015497974,868.683318811921,167.340644836426,154.614186700801,180.06710297205,302.667373657227,297.422044963261,307.912702351193,257.325764973958,248.547033086725,266.104496861192,322.402592976888,299.97928508812,344.825900865656
"15","Gulf of Alaska",615.724997218651,611.212704629232,620.23728980807,1061.77923294261,1055.06834743669,1068.49011844852,1805.2927180423,1796.40216705694,1814.18326902766,472.691861985605,471.014884229436,474.368839741774,608.257141885878,604.226044304724,612.288239467032,682.797900815553,675.281744182358,690.314057448749,130.688287348687,128.994954324518,132.381620372856,263.304264744626,261.587775643056,265.020753846196,211.337764160543,209.692507179629,212.983021141456,271.69094988666,270.239164884317,273.142734889003
"16","Humboldtian",498.23778219784,491.473555020924,505.002009374756,855.044053021599,851.207464360936,858.880641682262,1539.40902889476,1528.12465222269,1550.69340556683,406.263369691138,400.731331911469,411.795407470808,427.496605966605,418.492766314475,436.500445618736,600.565426097197,593.478155796108,607.652696398286,30.1384880215514,28.6689861764341,31.6079898666687,197.011230767942,190.685871156858,203.336590379026,217.824506572649,211.386615267663,224.262397877635,166.706268908931,158.574111936523,174.838425881339
"17","Kerguelen Islands",412.863918819943,410.124683101254,415.603154538632,668.753257957665,666.267804250351,671.238711664978,1068.24429568729,1063.75373042028,1072.7348609543,290.854149070946,288.917653092402,292.79064504949,354.631296518687,352.742500148468,356.520092888905,440.646964408256,439.450227724502,441.84370109201,39.3044924349398,38.3274496504225,40.2815352194571,157.353616662928,156.27327545876,158.433957867095,155.856211481868,154.750650851555,156.96177211218,158.112282005516,156.483257771216,159.741306239816
"18","Macquarie Island",324.828236897786,315.516850465379,334.139623330194,477.872782389323,469.320128384769,486.425436393877,738.171407063802,726.335983959316,750.006830168289,143.10671488444,140.297500587151,145.915929181729,173.418696085612,168.295341025168,178.542051146056,208.016448974609,197.37515020336,218.657747745859,41.0387280782064,35.1227841806448,46.954671975768,71.3317718505859,65.3262537928105,77.3372899083614,65.6714935302734,58.1543598294766,73.1886272310703,72.779187520345,69.3565574116238,76.2018176290663
"19","Malvinas/Falklands",240.867985137521,239.694657088247,242.041313186796,469.783660470623,468.168880435667,471.398440505578,821.619628070152,817.515764022384,825.72349211792,150.059817170444,149.40801769846,150.711616642427,236.076946101777,235.02582315294,237.128069050613,260.902558836218,259.258695292312,262.546422380125,18.0862796469911,17.3964980515067,18.7760612424754,97.1912473913741,96.1948453530249,98.1876494297234,88.9811592624612,88.1297284954302,89.8325900294922,92.5613066790855,91.3668383990624,93.7557749591086
"20","Namaqua",279.021855553915,275.269991789808,282.773719318023,537.318903013717,513.092243039469,561.545562987966,946.653541742369,898.695473651479,994.611609833259,225.017782876658,219.925509654394,230.110056098922,291.312140886174,282.26544043054,300.358841341808,363.388978470203,345.391450939865,381.386506000542,43.5568763821624,39.8299997681582,47.2837529961667,129.053457393203,124.370598874717,133.736315911688,110.159717293673,106.853738735696,113.46569585165,147.751144231752,142.231967566261,153.270320897243
"21","North American Pacific Fijordland",571.585938830467,570.03852136615,573.133356294783,925.66513751703,922.310450172768,929.019824861292,1574.95319751043,1571.18895662573,1578.71743839513,438.327536434828,436.51780773026,440.137265139397,557.966972746057,555.694643117679,560.239302374434,626.997150473114,625.13727066764,628.857030278588,102.223527352232,101.025457273642,103.421597430821,242.360203589665,241.367724461814,243.352682717517,201.31390443225,200.311410835017,202.316398029483,269.893684865343,269.004809640361,270.782560090326
"22","North Patagonian Gulfs",238.410907268524,236.913856835044,239.907957702004,555.131353378296,554.508031357262,555.754675399329,995.177331924438,992.38703623214,997.967627616737,181.649265766144,180.375911192882,182.922620339405,295.786834716797,292.863107164626,298.710562268967,384.735822677612,382.950319765936,386.521325589289,49.9607288837433,48.5461887251934,51.3752690422932,113.375791549683,112.711950192581,114.039632906784,120.052082538605,118.892912476678,121.211252600531,135.122323989868,134.575545444347,135.669102535389
"23","Northern California",522.091401941636,520.090168406738,524.092635476534,783.690141266468,777.284662225213,790.095620307722,1451.27900007659,1438.85942084921,1463.69857930397,435.63504447189,431.710556953724,439.559531990057,487.404655905331,485.789529089874,489.019782720788,572.471581552543,570.940829862089,574.002333242997,76.3188653833726,73.9271732755251,78.7105574912201,244.574879066617,240.195807799569,248.953950333665,226.358560300341,224.880996184839,227.836124415842,257.064880670286,254.421566857077,259.708194483495
"24","Oregon, Washington, Vancouver Coast and Shelf",541.826939438329,537.965804502761,545.688074373896,828.541097005208,820.992261127517,836.0899328829,1492.94662198153,1484.17646194022,1501.71678202285,415.100627552379,411.449267584399,418.751987520359,499.469668301669,491.486917778248,507.45241882509,592.018835819129,584.010330574136,600.027341064122,74.4988468054569,71.4619750730822,77.5357185378316,238.747442996863,234.623040917826,242.8718450759,204.152274854255,201.100512238134,207.204037470377,264.492954138554,259.755518937659,269.230389339448
"25","Patagonian Shelf",244.505845100649,240.121679769988,248.89001043131,482.8351681617,472.193110550342,493.477225773058,861.284605949156,839.525908669007,883.043303229304,165.903353045064,162.960617635758,168.846088454369,252.574242376512,244.347689392168,260.800795360856,300.257986499417,289.29107427402,311.224898724814,27.1516466448384,24.2746205164155,30.0286727732612,106.646773061445,103.258073111233,110.035473011656,96.3540466677758,91.3709751588494,101.337118176702,102.635984236194,98.4012684538983,106.87070001849
"26","Prince Edward Islands",451.232345581055,449.472451946272,452.992239215837,721.218688964844,717.55374210187,724.883635827817,1175.83590698242,1167.83557148503,1183.83624247981,293.527786254883,291.407499964113,295.648072545653,375.560165405273,372.832214967596,378.28811584295,468.454650878906,467.112983812236,469.796317945576,24.2284483909607,19.5906271459415,28.8662696359799,172.689865112305,171.748117935682,173.631612288927,155.083618164062,154.139847856449,156.027388471676,191.118522644043,186.720072733495,195.516972554591
"27","Puget Trough/Georgia Basin",554.409065893141,553.214914848417,555.603216937865,855.874363786083,855.347734998867,856.400992573299,1516.16875910355,1514.82772790084,1517.50979030626,425.951234979145,425.536823049477,426.365646908812,523.109853970802,522.603270405161,523.616437536443,614.212523379568,612.789200175876,615.635846583261,71.9257621765137,67.3498718483839,76.5016525046435,246.875610351562,246.322982374799,247.428238328326,214.742417933577,214.365290446266,215.119545420888,277.696341304456,276.803578721587,278.589103887324
"28","South Georgia",141.013548496791,138.559563051263,143.46753394232,433.674907575335,429.441882102236,437.907933048434,744.018310546875,737.784755597356,750.251865496394,99.9571829659598,97.8546335243839,102.059732407536,187.37860281808,183.305059948219,191.452145687942,237.765693882533,234.840313360086,240.691074404981,31.9727457318987,31.1785407058773,32.7669507579201,82.5020882742746,81.5651344720508,83.4390420764983,61.9754574366978,61.3617629341288,62.5891519392669,69.2998370579311,67.6378542062218,70.9618199096403
"29","South New Zealand",280.415636189779,278.851276554316,281.979995825241,598.68395690918,593.413202428227,603.954711390132,994.44936319987,982.93309765878,1005.96562874096,180.818257141113,177.223244150643,184.413270131583,278.397869110107,274.5460563476,282.249681872615,391.656387329102,385.531887182652,397.780887475552,79.9125564575195,78.6924448914465,81.1326680235925,134.912938944499,131.98225380142,137.843624087577,117.323506164551,115.585695508298,119.061316820804,140.692319361369,137.432797378759,143.951841343978
"30","Southern California Bight",493.838990117463,486.726611459526,500.951368775399,704.385594327685,692.179129652148,716.592059003221,1331.12162501375,1318.21703008015,1344.02621994736,421.579062878246,416.810077271651,426.348048484841,470.758581886829,464.729289792003,476.787873981655,567.581747565471,562.806191909411,572.357303221531,109.264984453228,105.588060388309,112.941908518147,216.507922320299,215.450386247634,217.565458392964,220.957920128191,218.726588310304,223.189251946078,238.168245987153,236.021336848616,240.315155125691
"31","Tristan Gough",308.759422302246,294.283365008578,323.235479595914,576.916664123535,563.282111543562,590.551216703509,1061.25819396973,1055.75881244097,1066.75757549848,216.426347732544,199.285436021613,233.567259443475,282.495933532715,272.264388728285,292.727478337144,406.110458374023,390.736218716015,421.484698032032,44.2461247444153,42.3255811884397,46.1666683003909,138.561821937561,120.705413912118,156.418229963004,121.332691192627,115.72169032476,126.943692060494,144.026931762695,138.8976862734,149.156177251991
"32","Western Bassian",307.053163316515,305.482645097079,308.62368153595,548.756003485786,528.117716683516,569.394290288055,947.79497273763,912.998323867493,982.591621607768,200.030016581217,196.292083335841,203.767949826594,272.846638149685,263.025211093294,282.668065206077,351.238669501411,335.785780186607,366.691558816214,88.5271839565701,85.4101783614191,91.6441895517211,119.740562438965,114.77508512232,124.70603975561,128.422296735975,124.049348565808,132.795244906143,107.275036705865,99.6796836871509,114.870389724579
